Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Global Model,204,"(2313, 13)",1,Chemical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.0745506416431723,0.31761306321313326,1.534255766085493,0.21747445807256616,0.035343361299244216,0.004505123633006703,0.8991943779177294,0.015408311350321845,2.028137137526192,0.3718359813319116,1.670829644425368,0.47565238145037364,0.0388185220504175,0.011751698952838415,0.8757777777332009,0.06185528947315912
Global Model,204,"(2313, 13)",1,Chemical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.959401882745433,0.20641845746463056,1.4745919703752086,0.13307437059180216,0.03347260424644178,0.0033046730987367086,0.9194345836338991,0.016587422687420614,2.2684763070611647,0.4022722947600528,1.8207017398982854,0.3768637257350171,0.040963421492175425,0.008809830145069199,0.871133889851032,0.03358427076948703
