Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_ii,"(78, 15)",,Chemical + Mineralogical + CS1 + CS3,Linear Regression,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",4.9483600462113975e-15,3.657739233962325e-15,2.960594732333751e-15,3.0192260624019602e-15,7.380449999763849e-17,7.209237183448299e-17,1.0,0.0,6.384253432564293,5.466092960128686,5.186000756785843,3.760985799558676,0.13188902645618755,0.09429369699878,-115.8116272591707,129.25400996644896
Local Model,partner_ii,"(78, 15)",,Chemical + Mineralogical + CS1 + CS3,Linear Regression,Out of time Split,"{""Test Size"": 0.2}",1.1784990385072514,0.0,0.9753474140262368,0.0,0.02436624235065124,0.0,0.8059740804023123,0.0,2.598163938282935,0.0,1.9778996186210485,0.0,0.05222541132147001,0.0,-3.0419508806311892,0.0
Local Model,partner_ii,"(78, 15)",,Chemical + Mineralogical + CS1 + CS3,Linear Regression,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3366306560058085,0.057719573847949256,1.0693782754694034,0.044382124412668346,0.027123667436363283,0.001129702331072023,0.7392489404816078,0.03654788330710419,2.3495572785655834,0.9622064159507254,1.7121075146532905,0.433323152579463,0.04319759984294124,0.010714466270465189,-0.05398803818891369,0.8129192377912083
Local Model,partner_ii,"(78, 15)",,Chemical + Mineralogical + CS1 + CS3,Linear Regression,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.8554062552955066,0.4504003354847719,0.6970790848814359,0.37126046738700014,0.017058757071537138,0.00921093279935725,0.8374235877837964,0.09260633459655072,2.517475817048228,0.7002094269277673,2.139599991985016,0.6177215086116777,0.0546401944223706,0.014609336194222665,-2.8840155172885145,3.1556095025758917
