Company,Plant,Cross Validation,Features,Features_bkp,Model,Model_bkp,Model_bkp_2,Timesteps,RMSE_mean,MAE_mean,MAPE_mean,R2_mean,RMSE_std,MAE_std,MAPE_std,R2_std,SCPM,Dominated_Count,Classification,Dominates_Count
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Trees,Random Forest,Random Forest,,1.254675244146311,0.8759408293360356,2.02130064795304,0.9322593468750052,0.2519884878310079,0.1104837978247217,0.25266109984327,0.0282601821176986,-5.495497353109536,0,dominant_model,19
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Trees,Decision Tree,Decision Tree,,1.2941057111662633,0.994894814984668,2.30508236610378,0.9279661073663158,0.3213181165490151,0.2275759927009757,0.52503656586979,0.0304898621255823,-5.365311486058989,1,intermediate_model,18
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Trees,XGBoost,XGBoost,,1.4908755495613788,1.103019761066045,2.66024342877033,0.905197762509985,0.2271300482038534,0.1342583336293174,0.31126757978281,0.0309998962368554,-5.1581112388082495,2,intermediate_model,17
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,Transformer,Transformer_1.0,1.0,1.9299574809570563,1.5318226976459526,3.61447374527019,0.838559897484058,0.4481726786050429,0.297845570197593,0.65588287501146,0.0753771544849099,-4.573170641035508,3,intermediate_model,16
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Linear Regression,Linear Regression,Linear Regression,,1.9303024009093204,1.5695897690214458,3.68691803167438,0.8378283450984817,0.5106003153591385,0.4761641446248515,1.07703992316532,0.0778861468153682,-4.540546526961768,4,intermediate_model,15
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,Transformer,Transformer_7.0,7.0,3.3824638769229787,2.505573079919304,5.7416887202466205,0.130147446092476,2.707274180632149,1.827741195644147,3.90197347993115,1.5479009293892778,-2.9732004372547083,5,intermediate_model,14
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,BidirectionalGRU,BidirectionalGRU_1.0,1.0,5.079127721862064,4.010109028199899,9.3263257007476,-0.078157618471902,0.6942308452972872,0.6106114809809381,1.36506424186798,0.2638581642010876,-0.8127475623251139,6,intermediate_model,13
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,BidirectionalGRU,BidirectionalGRU_7.0,7.0,5.160635930057356,4.292346716439853,9.96994312582143,-0.2326759746378448,1.6705276230220878,1.5335489694846711,3.6657380099102097,0.9518944202816316,-0.4905389216392104,7,intermediate_model,11
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,GRU,GRU_1.0,1.0,5.331912229131727,4.169412226255244,9.721847376842959,-0.1880324979458166,0.7858297130432805,0.6164947960797927,1.37513239294876,0.294561608703662,-0.536044168457841,7,intermediate_model,11
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,BidirectionalGRU,BidirectionalGRU_14.0,14.0,6.202797766122412,5.788821225691349,12.802133258296081,-3.4851348749378825,4.203501487143493,4.186683251509275,9.24898053558395,6.648076284667935,1.7578220591066067,9,intermediate_model,3
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,GRU,GRU_7.0,7.0,6.28863989422979,5.169203760290662,12.043171807529559,-0.8263001907632718,2.5053191453436816,2.373803656893936,5.57296464123894,1.775873241422825,0.9017783281287401,9,intermediate_model,8
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,GRU,GRU_14.0,14.0,6.27868947275256,5.747446096563175,12.77509390355968,-3.268904829179648,3.743276273133004,3.785533562252949,8.33246935027972,7.635638631315444,1.7276285360843016,9,intermediate_model,3
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_7.0,7.0,6.676665767744433,5.614672986922729,12.9135663419085,-0.9408782568467644,2.073092988062891,1.991752092936971,4.45462873942579,1.217031108674939,1.4644115761589487,10,intermediate_model,7
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,MLP,MLP,,7.086603347939056,5.648516692596224,13.271472683973759,-1.0954959422205792,0.9086442694681072,0.7756885550062681,1.82828318962509,0.47053444685384,1.747096741213339,11,intermediate_model,6
partner_i,partner_I,Blocking Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Properties CS Less,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_1.0,1.0,7.2332554986514195,5.790355368374152,13.489686381285551,-1.175380116279492,0.8140844388572366,0.7856085674646182,1.78356485461985,0.411173968263996,1.9308600926454613,12,intermediate_model,5
