Company,Plant,Cross Validation,Features,Features_bkp,Model,Model_bkp,Model_bkp_2,Timesteps,RMSE_mean,MAE_mean,MAPE_mean,R2_mean,SCPM,Dominated_Count,Classification,Dominates_Count
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Neural Networks,BidirectionalGRU,BidirectionalGRU_1.0,1.0,1.3169557703082904,1.083608833013794,2.48297637005361,0.9262686678394544,-3.4773265827412536,0,dominant_model,16
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Trees,Decision Tree,Decision Tree,,1.505492072788019,0.9524524432253508,2.16207506505436,0.9036466879249332,-3.4413814979593673,0,dominant_model,12
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Neural Networks,MLP,MLP,,1.320393077983899,1.057027704575479,2.4324548333884097,0.9258832820574212,-3.5439189246958236,0,dominant_model,17
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Neural Networks,GRU,GRU_1.0,1.0,1.4073560564123482,1.1576800252877004,2.65787200789784,0.9157989175790616,-3.032735202666454,2,intermediate_model,12
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Neural Networks,Transformer,Transformer_1.0,1.0,1.457229100198627,1.1613009957706222,2.63308825409235,0.9097254416693482,-2.923459216263909,2,intermediate_model,12
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Trees,Random Forest,Random Forest,,1.460789220244592,1.0831316007544751,2.45202615180375,0.9092838078143368,-3.1559135781911234,1,intermediate_model,14
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Linear Regression,Linear Regression,Linear Regression,,1.4646933984709538,1.1078978492711902,2.60608415845738,0.908798254571574,-3.0057493146831034,3,intermediate_model,12
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Trees,XGBoost,XGBoost,,1.5482700136920458,1.140134082121006,2.5935161423278097,0.8980932134929156,-2.7591631349951022,4,intermediate_model,11
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_1.0,1.0,1.4708535605775992,1.184998886257992,2.71584831876772,0.9080294944007044,-2.7987444630345486,6,intermediate_model,11
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Neural Networks,LSTM,LSTM_1.0,1.0,1.7638154211926214,1.4491417454738258,3.3464005648121202,0.8677438206949811,-1.2325138486636407,9,intermediate_model,9
partner_i,partner_I,Time Series Split,Chemical + Mineralogical + Physical - Early CS,Chemical + Mineralogical + Physical - Early CS,Neural Networks,Transformer,Transformer_14.0,14.0,2.13161773580507,1.4038948290275848,3.12797969294642,0.8022768447122425,-0.4123470114122043,9,intermediate_model,8
