Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(1947, 11)",,Chemical + CS3,MLP,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.4501076930355543,0.3627156487459434,2.6061920016371554,0.2615862847092003,0.06550946478902671,0.0066673879942129545,0.3140940829705865,0.19740175337966973,3.452234124926137,0.43388930644946866,2.6851851422562563,0.3729004691924853,0.06803966375199481,0.009137094251701318,0.27941602359799056,0.2613056685693761
Local Model,204,"(1947, 11)",,Chemical + CS3,MLP,Out of time Split,"{""Test Size"": 0.2}",1.451465211592689,0.014466188720804286,1.1226334028952485,0.011826774336341004,0.027785447227535332,0.00021606097949720848,0.8805769951488855,0.002388631063977418,2.088033107925702,0.038955163881918956,1.7916714666643714,0.039901794231552185,0.0436579870561745,0.0009492079946023495,0.7866614978718944,0.007982740037031703
Local Model,204,"(1947, 11)",,Chemical + CS3,MLP,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4591233559858958,0.030917336041776565,1.1415916629247533,0.023714249581986965,0.02826988136981101,0.0005816226941373608,0.8830293057148366,0.004691126340860515,1.4864449139387788,0.069907543895988,1.1598182327622197,0.05163566476971886,0.028725398487729082,0.0011816468314353478,0.8780462803135628,0.01136785760158655
Local Model,204,"(1947, 11)",,Chemical + CS3,MLP,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8184829892122896,0.7589708910042737,1.40217186993778,0.5940723262988893,0.03453655721443639,0.014705751825747486,0.800949389212059,0.16968063221082463,2.3485895655773885,1.0269445338660077,1.8081860860188803,0.702007480176926,0.045327450031473863,0.017767261276613964,0.6124460347193534,0.3847019660566931
