Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(4683, 11)",,Chemical + Properties CS Less,Decision Tree,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.837412593482096,0.569851633278969,2.1204813823419486,0.42133102705304926,0.04502365878090853,0.008917314448195912,0.8530557623262919,0.05983632457581602,3.3396884076769267,1.1049242674356228,2.629525589815549,0.9261897939043275,0.059632573478986636,0.02247006121240216,0.7951443816206913,0.10613460673450788
Local Model,203,"(4683, 11)",,Chemical + Properties CS Less,Decision Tree,Out of time Split,"{""Test Size"": 0.2}",4.284591412220517,0.0,3.3288106708688416,0.0,0.07024921446779359,0.0,0.6906621727791309,0.0,4.148560747082416,0.0,3.0388314155268255,0.0,0.07041362597737112,0.0,0.7150270158100038,0.0
Local Model,203,"(4683, 11)",,Chemical + Properties CS Less,Decision Tree,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.164201613922655,0.2764267552995546,3.152933368734753,0.2371540594106147,0.06694479288502023,0.004623450471937219,0.715099262387162,0.03346189949314448,4.173761512191069,0.3406592999259722,3.163361927804071,0.2862827605462984,0.06729425957379144,0.005910708933958704,0.7131416871141012,0.03931192616151677
Local Model,203,"(4683, 11)",,Chemical + Properties CS Less,Decision Tree,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",3.31642033915263,0.8635914298554807,2.577999723732364,0.684678235811989,0.054285592880610634,0.014476831898106113,0.7991679606396049,0.10258122620577108,3.983616954492935,0.6796523622798352,3.024182347405207,0.5201062848598498,0.06937305243363842,0.012279453029040946,0.7054729220499603,0.10299211448078148
