Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(2313, 6)",,Chemical + CS3,Linear Regression,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1962607127606595,0.21160001406346454,0.9367834756954257,0.16273173898525806,0.021446343323870434,0.003582865446179907,0.9659268095060305,0.009401121290114164,1.4730643049756236,0.31164440072750654,1.2029446488959952,0.2832690587984285,0.026940919383911605,0.005700274721580386,0.9329962163926966,0.03681144335830683
Local Model,204,"(2313, 6)",,Chemical + CS3,Linear Regression,Out of time Split,"{""Test Size"": 0.2}",1.3694822723329323,0.0,1.0823135687123668,0.0,0.024312313730279575,0.0,0.9594678759810902,0.0,1.2000772737967957,0.0,0.9340071775826151,0.0,0.021788078375198288,0.0,0.9508700302775758,0.0
Local Model,204,"(2313, 6)",,Chemical + CS3,Linear Regression,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3329542785457635,0.010886036017827155,1.0462992892297467,0.009709095537810073,0.023667937470982652,0.00023261142129105152,0.9587244172768289,0.0006975483776185647,1.3393226132735359,0.04418883862052838,1.0512299762488297,0.037353115459251345,0.02378409528689744,0.00089219577264649,0.9581608757652941,0.002927485271532713
Local Model,204,"(2313, 6)",,Chemical + CS3,Linear Regression,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4454380661940942,0.06944749214660814,1.140233065840104,0.053625041340581034,0.025601914299785717,0.0013911752709431654,0.9564584635181574,0.004368535372827776,1.4170377343857663,0.11360202131599595,1.1422375820000252,0.1139301998834103,0.025682272294081987,0.0024496316071990513,0.949718093588127,0.005039236244364462
