Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(2313, 8)",,Chemical + CS1 + CS3 + CS7,MLP,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.6623529082705355,0.45657728587302726,2.806583298046522,0.3280775734338753,0.06442358643728609,0.008292545980464396,0.6803099464663764,0.06954266497647169,5.553711463938855,1.8393156755376527,4.514336858769898,1.5110540547550615,0.10080029905929049,0.033032342204692616,-0.19401545432432543,1.2631834146726797
Local Model,204,"(2313, 8)",,Chemical + CS1 + CS3 + CS7,MLP,Out of time Split,"{""Test Size"": 0.2}",1.150827856488956,0.0015250312822618866,0.8996728351489917,0.0008018321395846384,0.02006168076129265,1.8552757548445023e-05,0.9713774694664856,7.582427770253069e-05,1.0259874617090337,0.016249471747663714,0.7750260173888237,0.007774531404343106,0.018199077361730986,0.0002071357818400834,0.9640812590903091,0.0011312362908854423
Local Model,204,"(2313, 8)",,Chemical + CS1 + CS3 + CS7,MLP,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1488268737687006,0.03039698614729029,0.8916871961543336,0.020729546857799378,0.020094768701899034,0.00042396151115851763,0.9693217745340893,0.0016198650633864203,1.1676083704683218,0.06517568798156691,0.9057567224857241,0.04706260340786523,0.020397604474767024,0.0010364065849531893,0.9681368616838907,0.0036169502268127997
Local Model,204,"(2313, 8)",,Chemical + CS1 + CS3 + CS7,MLP,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8485530785332742,1.105636882125045,1.4223200598445034,0.8405439748318291,0.032500476739203386,0.020293363640859756,0.9019488774724548,0.12621260569184437,2.0783749573148858,1.490969600709202,1.5995509207721395,1.066449052611455,0.03573797680583111,0.02287692747664287,0.8626530060022145,0.17992557893472982
