Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(2313, 6)",,Chemical + CS7,Decision Tree,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0095874432833827,0.21370807188787524,0.7902969101637459,0.16936370738157397,0.01792916339241605,0.003562710279665381,0.9757433582170065,0.008116774720199251,1.4327057707478539,0.26342924195200046,1.1023894689497031,0.18222695741935654,0.024858105968348764,0.004340427427949355,0.931206351097939,0.04970840696038729
Local Model,204,"(2313, 6)",,Chemical + CS7,Decision Tree,Out of time Split,"{""Test Size"": 0.2}",1.2856530191325575,0.0,1.003602862626037,0.0,0.022410007353116778,0.0,0.9642781385805005,0.0,1.151735526770248,0.0,0.8725967666609746,0.0,0.020696298704718598,0.0,0.9547484353375547,0.0
Local Model,204,"(2313, 6)",,Chemical + CS7,Decision Tree,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2215792762260818,0.008819998978893488,0.9450785361581402,0.007666071956323994,0.021330609902802285,0.0001487407380573104,0.9653334937967474,0.0005755804588727757,1.271242453244057,0.044893523492813704,0.9789650105645537,0.04134203242382119,0.022097691680527276,0.0009645663854212687,0.9622989335515939,0.002776865228715713
Local Model,204,"(2313, 6)",,Chemical + CS7,Decision Tree,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.3269242736005065,0.06150746642890468,1.0393738769453438,0.048855457480338656,0.023216236583228016,0.0012036527248974348,0.963305856198885,0.0035908747610584883,1.3312330411685012,0.14490845560008805,1.064935882845118,0.1518928919653969,0.024071561440462592,0.003452964100563314,0.9552951684878513,0.008523818541960836
