Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,207,"(1729, 18)",,Chemical + Physical,XGBoost,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.390115523445642,0.13733945699895697,1.1116214061128917,0.11495693536172734,0.025055129717735138,0.002431198155804137,0.6905516076145453,0.14100446453037174,2.2120759682503675,0.400371285365623,1.7510171420332317,0.25600502396543134,0.04019853421564093,0.007398896787816102,0.35596814791135245,0.3009095287271866
Local Model,207,"(1729, 18)",,Chemical + Physical,XGBoost,Out of time Split,"{""Test Size"": 0.2}",1.8672967080434753,0.0,1.4664588315885132,0.0,0.03251559689401165,0.0,0.5420011848348041,0.0,2.7128958053168297,0.0,1.9426917809282425,0.0,0.04938141046483216,0.0,0.6651941483323315,0.0
Local Model,207,"(1729, 18)",,Chemical + Physical,XGBoost,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.850306871717145,0.019820256791081972,1.4555835951503906,0.017282130432353774,0.032761960353609156,0.0004028278512371183,0.7014927253301197,0.0071658813716889,1.930861553265113,0.060930318250715425,1.5131270618326338,0.05178649969505341,0.03408153239638008,0.00123361516678271,0.6730916740487575,0.024543295669778562
Local Model,207,"(1729, 18)",,Chemical + Physical,XGBoost,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.6580565624639128,0.217644569576368,1.293968230277824,0.1721501954243843,0.028511710071704315,0.0037098759385647156,0.5499567002438457,0.07123489962099502,2.57905956957654,0.549706532156089,1.9604921367433334,0.3047398291984986,0.04548617138628129,0.009415359467566402,0.1579475522456557,0.3148676762013062
