Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_i,"(1226, 30)",1,Chemical + Mineralogical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5800127963949515,0.13268498821710237,1.2251740423189568,0.0953064084691956,0.0283688291114815,0.0022371207792433374,0.9011871694944407,0.017762740519612706,4.710006049896948,0.5984424468359719,3.7475682887901214,0.5797181554881051,0.08659994531987375,0.01386243127286198,0.06863471768222723,0.2385385513032791
Local Model,partner_i,"(1226, 30)",1,Chemical + Mineralogical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.9481694066952748,0.025578212668625006,0.7494785049334695,0.027056499694377265,0.017416618372773134,0.0006579679318326546,0.9648008079274186,0.001880019353683175,1.2653924804954342,0.090829213990306,1.0010647037164933,0.08193410564070688,0.02298297953148008,0.0017095195298004531,0.9349792869916437,0.00930785149239428
Local Model,partner_i,"(1226, 30)",1,Chemical + Mineralogical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.00389195424822,0.03952364612546119,0.7943113524087446,0.033890532314353516,0.01840548752280425,0.0007879334478810661,0.9603384941118657,0.0030235214234924195,1.1915278489985446,0.04508715764741566,0.9398132433632066,0.04307958940803848,0.021857900019732878,0.0010431860777728847,0.9437692834760342,0.005598767077535048
Local Model,partner_i,"(1226, 30)",1,Chemical + Mineralogical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0936488509867894,0.22417841445422346,0.8558907759470198,0.15731937772399546,0.019832186168103436,0.003686408436613818,0.9484554305918791,0.024834383571855505,3.5553859618969934,3.3777955528932124,2.479388204294872,1.9999901303760297,0.05719719680103784,0.045767340411203325,0.023712429744394522,1.670842301179263
Local Model,partner_i,"(1226, 30)",7,Chemical + Mineralogical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1033691132755108,0.10295814403650505,0.8957706437128764,0.09583114444400227,0.02055965492019094,0.002223249801478135,0.9521757762735065,0.008760431080545491,5.497481900601285,1.9742965948156619,4.731242715158771,1.9331399130672007,0.11090524796657099,0.04592527790564683,-0.3802097035165669,0.9579150508815746
Local Model,partner_i,"(1226, 30)",7,Chemical + Mineralogical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.2482193701811293,0.2109090738711606,1.0678833520668551,0.2148345359236287,0.024780268489191667,0.0050916002822807395,0.9374634756723305,0.019923548019158074,3.0623773055316224,0.8312224358576545,2.738677557448895,0.8462959097268228,0.06318152472638765,0.019475391553584236,0.5875890552474893,0.18961099416810157
Local Model,partner_i,"(1226, 30)",7,Chemical + Mineralogical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8498727214654223,0.09181241398549661,0.6839552183815286,0.07890926799492423,0.01584390071833074,0.0018886405311038194,0.9713479746104046,0.006454232111432115,1.527986857049966,0.12067016342516867,1.2178256003231467,0.10159448659268375,0.028285801463264263,0.0023911573509909118,0.9080793881829773,0.015660084487096295
Local Model,partner_i,"(1226, 30)",7,Chemical + Mineralogical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.8937470991302476,0.18432891535151458,0.7224347827164495,0.16744145370180158,0.016720021796586864,0.0037890978678900636,0.9658793266345194,0.01715987193120391,3.750724803212039,1.7499224256986647,3.005630200567212,1.2464293981309726,0.06970083454179421,0.02988393257339467,0.3176142423068843,0.6760728236511641
Local Model,partner_i,"(1226, 30)",14,Chemical + Mineralogical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9865068033266478,0.24201497620114332,0.812813461206521,0.23045913900791085,0.01872680393604827,0.005171208306806615,0.9596337228542123,0.021547907943113353,6.321214403405903,4.39521271396669,5.965605490863357,4.439604593685822,0.1318040510104335,0.09797187220761322,-3.9638506281266506,8.036776161012986
Local Model,partner_i,"(1226, 30)",14,Chemical + Mineralogical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.8583186988649728,0.10263664264476854,0.684630413913491,0.08507319144599569,0.015665136265081446,0.0017620990214886499,0.970972602604275,0.006984480270782783,4.029122363211016,0.45083728439283083,3.721604757262888,0.4429803498365441,0.08603762401799263,0.009749455591634254,0.31980528199793706,0.1448640764190744
Local Model,partner_i,"(1226, 30)",14,Chemical + Mineralogical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7954813485902472,0.06411195569186527,0.6376383360212301,0.05388627528547339,0.014838079627317867,0.00132561313664052,0.9751281335685655,0.0038940369860285566,1.5128689567002664,0.10667756372538849,1.2064131595336107,0.10238539783926928,0.028045751014254872,0.0023793692953614155,0.9107282753003757,0.013598647606771411
