Company,Plant,Cross Validation,Features,Features_bkp,Model,Model_bkp,Model_bkp_2,Timesteps,RMSE_mean,MAE_mean,MAPE_mean,R2_mean,SCPM,Dominated_Count,Classification,Dominates_Count
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,LSTM,LSTM_1.0,1.0,3.0035424330843696,2.297833746337891,5.91535912068265,-0.1423270032762249,-6.642004669285224,0,dominant_model,19
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,MLP,MLP,,3.030789931643785,2.467180556815011,6.3418603608314,-0.163146909287233,-5.935449939500341,1,intermediate_model,18
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,GRU,GRU_1.0,1.0,3.142247660780231,2.581363919503348,6.67247362775476,-0.2502697467807253,-5.157767131028028,2,intermediate_model,16
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,GRU,GRU_14.0,14.0,3.0740793796453643,2.4743404747458064,6.36126693572373,-0.3182914282955453,-5.593698173265167,2,intermediate_model,16
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,GRU,GRU_7.0,7.0,3.5512371085006365,2.834272741815846,7.186267205155559,-0.6080543410343902,-3.0644776977951556,4,intermediate_model,15
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalGRU,BidirectionalGRU_1.0,1.0,3.5845524743273143,2.849003585379464,7.312259954999541,-0.6270195978688418,-2.8600042857142944,5,intermediate_model,14
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_1.0,1.0,3.781361246162492,2.969189233398438,7.5864935191881795,-0.8105863305820928,-1.8182884990139971,6,intermediate_model,12
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,Transformer,Transformer_1.0,1.0,3.671616208842818,3.146887675258091,8.12450832870404,-0.7070154670198814,-1.4390255488412693,6,intermediate_model,11
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalGRU,BidirectionalGRU_14.0,14.0,3.83266533227696,3.089175017861759,7.88537762718445,-1.0491939711205558,-0.9179074928627613,7,intermediate_model,9
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Trees,Random Forest,Random Forest,,3.886430699374957,3.3938374707664107,8.78525063425048,-0.9126026596473472,0.1862454638321463,8,intermediate_model,8
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,Transformer,Transformer_7.0,7.0,4.025509825364803,3.269653579809104,8.4214561823948,-1.066251407491409,0.1613167684860037,9,intermediate_model,8
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Linear Regression,Linear Regression,Linear Regression,,4.005449388144263,3.4756599199380784,8.94888655200689,-1.0315400864727515,0.8442165384755684,9,intermediate_model,7
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalGRU,BidirectionalGRU_7.0,7.0,4.560008875487057,3.4150769558074368,8.69444363591701,-1.6513847642663584,2.442108878654887,10,intermediate_model,3
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_14.0,14.0,4.481732245052298,3.62599074419807,9.238384291422621,-1.802031969395168,3.336898662748318,12,intermediate_model,3
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Trees,XGBoost,XGBoost,,4.101504286342774,3.637795960344587,9.46929651660499,-1.1301453519587916,1.841773718163172,12,intermediate_model,5
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_7.0,7.0,4.676081340275865,3.70084660524016,9.50349813784776,-1.7880816918776157,3.974886713051589,14,intermediate_model,2
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,LSTM,LSTM_14.0,14.0,4.559872534710891,3.762137356926413,9.78309392684463,-1.9005922222570784,4.2728000606151655,14,intermediate_model,2
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Trees,Decision Tree,Decision Tree,,4.422608019546499,3.954139126794154,10.26153836605684,-1.4767364604463085,4.091250544801724,13,intermediate_model,1
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,Transformer,Transformer_14.0,14.0,4.875435686719131,3.887444441178266,10.00980627768043,-2.3159512458118385,5.850066499129081,17,non_dominant_model,0
partner_ii,Partner_II,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,LSTM,LSTM_7.0,7.0,4.868820066672769,4.1633372896036525,10.733470079553719,-2.022656738896396,6.427059589348643,18,non_dominant_model,0
