Company,Plant,Cross Validation,Features,Features_bkp,Model,Model_bkp,Model_bkp_2,Timesteps,RMSE_mean,MAE_mean,MAPE_mean,R2_mean,RMSE_std,MAE_std,MAPE_std,R2_std,SCPM,Dominated_Count,Classification,Dominates_Count
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Random Forest,Random Forest,,0.876747068658086,0.6578816194107076,1.54493800713961,0.9770173427840868,0.1924279677839379,0.1540841987509135,0.32634809736912,0.0085371315807973,-6.35855259697683,0,dominant_model,19
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,Transformer,Transformer_1.0,1.0,0.9990451651778964,0.7829172328172531,1.86147541152159,0.9712086794749356,0.0609926656219182,0.0579248526993308,0.15402704373679998,0.0025079093175437,-5.719729759592784,1,intermediate_model,18
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Decision Tree,Decision Tree,,1.150395451564435,0.8593096316508848,2.06928026799737,0.9520454089925192,0.5121005325049456,0.3727088802705882,0.95533980028312,0.0429664806819724,-5.079947763727516,2,intermediate_model,16
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,1.112537227689692,0.8692277971147686,2.0586870244723903,0.964267373010195,0.0801225598566028,0.0733859768379574,0.18580996329679,0.0040844762966675,-5.22915136952394,2,intermediate_model,16
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,XGBoost,XGBoost,,1.4896768097307,1.1944446999879008,2.98015402233997,0.9352965586994608,0.1279217568656252,0.1142610647595909,0.1894844554157,0.0123922419048141,-3.298617584392278,4,intermediate_model,15
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,BidirectionalGRU,BidirectionalGRU_1.0,1.0,1.662842385786309,1.290348328041819,2.98941469832141,0.9184243299003744,0.3078108607055342,0.2424113462323849,0.56988259179563,0.0284744431253407,-2.756246485783823,5,intermediate_model,13
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,Transformer,Transformer_7.0,7.0,1.8030884503481464,1.2799903429533306,3.22472827711849,0.8864287780029108,0.8825855062521847,0.4825922820994677,1.39530663072566,0.1128580035994688,-2.141115361468438,5,intermediate_model,13
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,GRU,GRU_1.0,1.0,2.0626854125013634,1.572094767747727,3.67226771769208,0.8751001989297548,0.3176169959326512,0.2072720466611942,0.47059257398495996,0.037197547634122,-0.9062038797612391,7,intermediate_model,11
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,Transformer,Transformer_14.0,14.0,2.1229817389247776,1.55835047438338,3.6799785435909698,0.8034848870289634,1.5221456680585257,1.0759203620639572,2.4468365996182797,0.2688362824413548,-0.21096935314558998,7,intermediate_model,7
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,BidirectionalGRU,BidirectionalGRU_14.0,14.0,2.078489509297507,1.6755176733893318,4.0504844106201,0.8574332787771711,0.6214890591621991,0.5736984057836995,1.5670042461041997,0.0799732820209144,-0.2963385773457273,8,intermediate_model,10
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,LSTM,LSTM_7.0,7.0,2.424240601260293,1.92592523386102,4.5389772666543395,0.8200167465228678,0.4175282341319088,0.4140196591185748,0.95028280454961,0.0616964292170996,1.2431959896699274,9,intermediate_model,6
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_14.0,14.0,2.2756222224071068,1.8396581043552709,4.25286503147278,0.8193803694651367,0.9621528599576956,0.9053669877804232,2.05938827653748,0.1508468067011156,0.711227854153308,9,intermediate_model,8
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,BidirectionalGRU,BidirectionalGRU_7.0,7.0,2.368977466357556,1.933064795403732,4.665120202099611,0.8189857178977812,0.7216730223832798,0.5844779563567254,1.56504960518348,0.1043994955205914,1.2785404549327917,10,intermediate_model,7
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,GRU,GRU_14.0,14.0,2.391851035487152,2.0967214435886694,4.92532584320245,0.8025558888192822,0.7471332741928061,0.8329060233259056,1.8705912339028,0.1185423816451896,1.9036359946457417,12,intermediate_model,5
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,LSTM,LSTM_14.0,14.0,2.4996186133414766,2.015991814896867,4.78677788732068,0.7873526458697636,0.8836050789799391,0.7418869418261579,1.72632762329475,0.1174245848650399,1.9518179997279592,13,intermediate_model,5
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,GRU,GRU_7.0,7.0,2.7477732771935925,2.221901686497738,5.3469851999924,0.752411098692617,1.0309064143302518,0.8561063277086051,2.25471792134465,0.1786333700617868,3.3170015875203585,15,intermediate_model,2
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,MLP,MLP,,2.7868449200861094,2.190505068348572,5.173909322702739,0.7701125509419369,0.5285036872533275,0.4205120059954282,1.00088928475961,0.0836722325202821,3.0404927481507524,15,intermediate_model,3
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_1.0,1.0,2.872247391569241,2.261224091926507,5.25122130489318,0.7577320870737047,0.4002764222703674,0.3295978423814532,0.6884866158461,0.0682619734979185,3.4328871434954955,16,intermediate_model,2
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,LSTM,LSTM_1.0,1.0,3.354548303176889,2.553083071143226,5.90879313779999,0.6638845969496716,0.6152328823832866,0.5184641237161182,1.15838706116023,0.1263824355851355,5.837453481907499,18,intermediate_model,1
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_7.0,7.0,3.7334902995942967,2.935643445306076,7.11213014193402,0.4967820498619921,1.996793020684228,1.983135316497573,4.526742681669569,0.519646479111205,9.280619477514314,19,non_dominant_model,0
