Company,Plant,Cross Validation,Features,Features_bkp,Model,Model_bkp,Model_bkp_2,Timesteps,RMSE_mean,MAE_mean,MAPE_mean,R2_mean,RMSE_std,MAE_std,MAPE_std,R2_std,SCPM,Dominated_Count,Classification,Dominates_Count
209,k,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,0.7641524913371046,0.5661843804953064,1.32337512379048,0.9791764952222624,0.1652113344523965,0.1251281889384853,0.31560920036858,0.0145479624270837,-3.6356044023117806,0,dominant_model,712
209,s,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Random Forest,Random Forest,,0.7360561191378278,0.5623540039670539,1.3835319865689901,0.9808921123748688,0.1100516442423271,0.0604808080194822,0.13222298089303,0.0066698067809134,-3.6357356137380936,0,dominant_model,712
209,k,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Random Forest,Random Forest,,0.827005242860448,0.6469303632320325,1.50511467625889,0.9744709837340896,0.2130787202377199,0.1460631933536173,0.35400163550451,0.0201800131130534,-3.5529542097128917,2,intermediate_model,707
209,s,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,0.7750603885693832,0.6050980423892183,1.50564705104749,0.9790732510276806,0.0861914583160451,0.0770310829339029,0.21893637428638002,0.0055225087754091,-3.5857511049065653,2,intermediate_model,710
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Random Forest,Random Forest,,0.876747068658086,0.6578816194107076,1.54493800713961,0.9770173427840868,0.1924279677839379,0.1540841987509135,0.32634809736912,0.0085371315807973,-3.526165161187201,3,intermediate_model,707
209,ag,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,0.8570939334600849,0.7167332710507399,1.9428398888527,-0.1093767926714104,0.4374402606696299,0.4021653631979424,1.10740410106867,0.6230209647455897,-3.422117940125768,4,intermediate_model,328
209,am,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,0.8903062826375839,0.6975552268540364,1.7158970821168102,0.9770615369523036,0.0477693952422616,0.0374583687476611,0.07660096886279,0.0043895935842111,-3.4771128370472786,3,intermediate_model,705
209,am,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Random Forest,Random Forest,,0.8921210713774874,0.67762451526007,1.6471911295610198,0.9769029692764456,0.0553517179337039,0.0357192022610475,0.0853795223886,0.0049449149735967,-3.496085683199778,4,intermediate_model,705
209,s,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Decision Tree,Decision Tree,,0.896547875180459,0.664042785206721,1.5900853267922601,0.9717078763970438,0.2171438030311381,0.1393419897669252,0.28703936962034005,0.0125619029192041,-3.509674604783171,5,intermediate_model,705
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,Transformer,Transformer_1.0,1.0,0.9990451651778964,0.7829172328172531,1.86147541152159,0.9712086794749356,0.0609926656219182,0.0579248526993308,0.15402704373679998,0.0025079093175437,-3.384301963053327,8,intermediate_model,696
209,am,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,Transformer,Transformer_1.0,1.0,0.9955870742960444,0.8218197446574711,1.99629251896302,0.9709649235289732,0.1166187903671439,0.1212743922593877,0.29319988243484,0.0090950151341959,-3.3471111391446375,8,intermediate_model,693
209,an,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,0.9260819038947016,0.7448998361445951,1.8720167055035601,0.9644473472236286,0.2079535471396974,0.1656807414471163,0.41975430001831,0.0160392523829752,-3.4203434668986348,8,intermediate_model,691
209,s,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,Transformer,Transformer_1.0,1.0,0.9396249734070736,0.782835273742675,1.98644042732305,0.9679183692099896,0.1608883495857802,0.1678103427026145,0.45136769172533,0.0132052395220185,-3.381705272302663,8,intermediate_model,690
209,w,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Decision Tree,Decision Tree,,0.9467564349875588,0.7492340887947233,1.75265975521655,0.9626242347430064,0.1566564106988107,0.1014850220762231,0.25203292678145,0.0116300472988879,-3.4324852802014667,8,intermediate_model,691
209,am,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Decision Tree,Decision Tree,,1.038842684818183,0.7832198417842815,1.91483218782536,0.9690024183318456,0.1248236640424812,0.0946295824030301,0.2392577357705,0.0059533902257057,-3.362428417038402,9,intermediate_model,691
209,am,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,LSTM,LSTM_14.0,14.0,1.0353981217846373,0.8192816003869522,2.0034126022581598,0.9709767720824748,0.1268435655286893,0.1027310254307647,0.23989445830477,0.0075300273911317,-3.3342913087011308,9,intermediate_model,692
209,ac,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,0.95009979435909,0.7594722999517782,1.76841645795001,0.6828287921934458,0.2638218547964694,0.2217559399294184,0.49548514165335,0.266541103688205,-3.419784594219177,9,intermediate_model,496
209,s,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Neural Networks,Transformer,Transformer_7.0,7.0,1.014050929323352,0.8415367921193461,2.10584049978658,0.962320085354574,0.200091280167233,0.1770793493473271,0.45778719443526006,0.0153304216908592,-3.3146660192035657,13,intermediate_model,681
209,v,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Random Forest,Random Forest,,1.007893145332304,0.7770543339977359,2.0755057410904403,0.8474780178228238,0.3484736278783324,0.3486247453942616,0.87064532877668,0.0838503749359079,-3.3450101560455328,10,intermediate_model,560
209,w,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Trees,Random Forest,Random Forest,,1.1149813903509296,0.812121662071607,1.94760991927105,0.9463688185221428,0.3265642528304227,0.1659858652898329,0.5308897393019499,0.0309083293780117,-3.3210225791640093,12,intermediate_model,667
203,c,Blocking Time Series Split,Chemical + Mineralogical + Physical,Chemical + Physical,Linear Regression,Linear Regression,Linear Regression,,1.112537227689692,0.8692277971147686,2.0586870244723903,0.964267373010195,0.0801225598566028,0.0733859768379574,0.18580996329679,0.0040844762966675,-3.2807668552067444,14,intermediate_model,679
