Company,Plant,Cross Validation,Features,Features_bkp,Model,Model_bkp,Model_bkp_2,Timesteps,RMSE_mean,MAE_mean,MAPE_mean,R2_mean,SCPM,Dominated_Count,Classification,Dominates_Count
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,GRU,GRU_7.0,7.0,1.8045476944828205,1.0518700186357917,2.60968796207646,0.9092887824145434,-4.327105243479789,0,dominant_model,16
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,LSTM,LSTM_14.0,14.0,1.7412380300286543,1.0855305984967836,2.6496542443062503,0.9162932956045224,-4.406245996506477,0,dominant_model,18
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,GRU,GRU_14.0,14.0,1.755080299174609,1.090013839804758,2.68145853833289,0.9149571240800708,-4.332963759896148,1,intermediate_model,17
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,LSTM,LSTM_7.0,7.0,1.803486637833907,1.1228370949550566,2.78277144497216,0.9093954256957208,-4.038742542257925,2,intermediate_model,16
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_7.0,7.0,1.93233804074208,1.156041994143096,2.87717196345666,0.8959863172094874,-3.5283050888306215,4,intermediate_model,13
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalGRU,BidirectionalGRU_14.0,14.0,1.8199199113795104,1.1660137944991682,2.8582870737515,0.9085574119912272,-3.8489662161044227,4,intermediate_model,14
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,Transformer,Transformer_7.0,7.0,1.948794393341885,1.251668340158702,3.10181258849796,0.8942071518563153,-3.095647461488642,6,intermediate_model,12
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,Transformer,Transformer_14.0,14.0,1.9008048486629068,1.3377237392640138,3.2391860455906003,0.9002485957664963,-2.9481624857502116,5,intermediate_model,12
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalGRU,BidirectionalGRU_7.0,7.0,2.3865764500763262,1.4447143593284757,3.66802698037378,0.8413372534183784,-0.9117035821671623,8,intermediate_model,10
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_14.0,14.0,2.286303565939519,1.4851004086475408,3.634392479931,0.8556849104155235,-1.1788970051773966,8,intermediate_model,10
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalGRU,BidirectionalGRU_1.0,1.0,2.670978713199168,1.7274678131734231,4.4366131434125595,0.7985508579915304,1.2589087140555002,10,intermediate_model,6
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_1.0,1.0,2.63252311066476,1.757748814569178,4.52402081849472,0.8043098557734842,1.2666756061279456,10,intermediate_model,6
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,Transformer,Transformer_1.0,1.0,2.756111843999001,1.732276244534975,4.42987304952684,0.7855044714527335,1.5492704222057012,10,intermediate_model,4
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Trees,Random Forest,Random Forest,,2.824098037084981,1.7460328754881191,4.41319235895374,0.774791848353184,1.7961616684026565,10,intermediate_model,3
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,GRU,GRU_1.0,1.0,2.744553286014637,1.8288565521967992,4.722206052386,0.7872997979101967,1.9529245504076056,12,intermediate_model,4
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,MLP,MLP,,2.6814032491736506,1.8372664531956413,4.72678706506666,0.7969753217441397,1.7625918480555907,12,intermediate_model,4
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Neural Networks,LSTM,LSTM_1.0,1.0,2.8037814401006127,1.8460786391896549,4.77831369888891,0.7780204935521006,2.2360616827804893,15,intermediate_model,3
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Trees,XGBoost,XGBoost,,2.915432944250508,2.072942500273639,5.2922442196081,0.759989256505083,3.5199428166504685,17,intermediate_model,2
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Linear Regression,Linear Regression,Linear Regression,,3.1747453688523763,2.526791282537844,6.357829171198221,0.7153951052408127,6.272403797515791,18,intermediate_model,1
209,am,Time Series Split,Chemical + Mineralogical,Chemical + Mineralogical,Trees,Decision Tree,Decision Tree,,4.08519800884922,2.808172099624207,7.050336842449299,0.5287506204353194,11.001798275457052,19,non_dominant_model,0
